CityCde|CountyStateCde|CityNameTxt
"0740"|"06"|"East Cleveland"
"0750"|"33"|"East Ridge"
"0752"|"55"|"Eastview"
"0754"|"27"|"Eaton"
"0755"|"19"|"Edenwold"
"0753"|"37"|"Eidson"
"0756"|"66"|"Elbridge"
"0757"|"76"|"Elgin"
"0760"|"10"|"Elizabethton"
"0772"|"07"|"Elk Valley"
"0770"|"28"|"Elkton"
"0773"|"79"|"Ellandale"
"0788"|"80"|"Elmwood"
"0777"|"52"|"Elora"
"0780"|"90"|"Embreeville Junction"
"0790"|"54"|"Englewood"
"0797"|"12"|"Enville"
"0797"|"55"|"Enville"
"0798"|"53"|"Erie"
"0800"|"42"|"Erin"
"0810"|"86"|"Erwin"
"0820"|"26"|"Estill Springs"
"0826"|"50"|"Ethridge"
"0830"|"54"|"Etowah"
"0831"|"03"|"Eva"
"0832"|"72"|"Evensville"
"0839"|"18"|"Fairfield Glade"
"0833"|"94"|"Fairview"
"0834"|"90"|"Fall Branch"
"0835"|"70"|"Farner"
"0829"|"47"|"Farragut"
"0837"|"03"|"Faxon"
"0840"|"52"|"Fayetteville"
"0842"|"55"|"Finger"
"0841"|"23"|"Finley"
"0844"|"50"|"Five Points"
"0836"|"86"|"Flag Pond"
"0838"|"68"|"Flatwoods"
"0843"|"52"|"Flintville"
"0846"|"19"|"Forest Hills"
"0851"|"63"|"Fort Campbell"
"0851"|"81"|"Fort Campbell"
"0847"|"49"|"Fort Pillow"
"0845"|"75"|"Fosterville"
"0848"|"23"|"Fowlkes"
"0849"|"28"|"Frankewing"
"0850"|"94"|"Franklin"
"0860"|"17"|"Friendship"
"0865"|"05"|"Friendsville"
"0867"|"27"|"Fruitland"
"0869"|"17"|"Fruitvale"
"0870"|"17"|"Gadsden"
"0880"|"44"|"Gainesboro"
"0890"|"83"|"Gallatin"
"0895"|"24"|"Gallaway"
"0900"|"84"|"Garland"
"0910"|"49"|"Gates"
"0920"|"78"|"Gatlinburg"
"0925"|"33"|"Georgetown"
"0930"|"79"|"Germantown"
"0940"|"27"|"Gibson"
"0944"|"84"|"Gilt Edge"
"0945"|"95"|"Gladeville"
"0950"|"92"|"Gleason"
"0960"|"19"|"Goodlettsville"
